tag,tag_key,tag_value,osm_type,osm_id,name,name_ko,name_en,has_hangul_name,lat,lon,address
shop=laundry,shop,laundry,node,12686602791,맑은물세탁소,,,Y,37.5488056,127.0493446,상원6길 10-1
shop=convenience,shop,convenience,node,13911616229,CU 이촌중앙점,,,Y,37.5288180,126.9543250,"이촌로 34,"
shop=butcher,shop,butcher,node,9893842260,명가한우돈,,,Y,37.4888477,127.0676369,개포로82길 5
shop=bakery,shop,bakery,node,6126295431,파리바게뜨,파리바게뜨,Paris Baguette,Y,37.6770990,126.7697636,
amenity=restaurant,amenity,restaurant,node,12074596489,두툼,,,Y,37.5634021,127.0668937,천호대로85길 32
tourism=gallery,tourism,gallery,node,6602200004,SH 갤러리 서울,,SH GALLERY SEOUL,Y,37.5274811,127.0366188,압구정로46길 17
amenity=restaurant,amenity,restaurant,node,13930561705,남평식당,,,Y,37.5228352,126.9099936,버드나루로7길 7
tourism=information,tourism,information,node,11830212628,[Seoul Trail] 6-1,,,N,37.5460798,127.1087476,
amenity=fast_food,amenity,fast_food,node,5160169413,파리바게뜨,파리바게뜨,Paris Baguette,Y,37.4795934,126.9281153,
amenity=restaurant,amenity,restaurant,node,6414254417,원당 감자탕,,Wongdang Gamjatang. Spicy Pork bone soup,Y,37.5611288,126.9829428,
amenity=restaurant,amenity,restaurant,node,13930571186,인왕산 옛날통닭,,,Y,37.5839294,126.9490079,통일로 379
amenity=restaurant,amenity,restaurant,node,13854683121,바른치킨 답십리점,,,Y,37.5720374,127.0539520,"답십리로 130, 근린생활시설1동 지1층 1-1호 (답십리동, 래미안위브)"
amenity=restaurant,amenity,restaurant,node,13686744614,자문밖,,,Y,37.5114654,127.0724658,
amenity=restaurant,amenity,restaurant,node,13946797686,테라다식당 논현점,,,Y,37.5083942,127.0236942,학동로2길 51
amenity=restaurant,amenity,restaurant,node,13854680562,역전우동0410 (회기역점),,,Y,37.5897759,127.0564433,"회기로 186, 1층 1호 (휘경동)"
amenity=restaurant,amenity,restaurant,node,12192199916,깊이,,,Y,37.5522121,126.9134780,양화로11길 60
shop=convenience,shop,convenience,node,10774478827,CU,CU,CU,N,37.4820804,126.9472885,
